project_id,requirement_id,requirement_title,family_id,event_count,ambiguous_count,defer_count,implementation_claim_count,introduce_count,modify_count,remove_count,resume_count,runtime_failure_count,runtime_verification_count
35648772,REQ_TEST_BLOG_EDITORIAL_REVISION,Test Blog Editorial Revision,,7,1,0,1,1,2,0,1,0,1
37823726,REQ_PROGRESSIVE_LEVEL_SEGMENTATION,Progressive Level Segmentation,TOY_FACTORY_LEVEL_CONTENT,5,0,0,0,1,4,0,0,0,0
37823726,REQ_REUSABLE_AI_AUTHORING_PROMPT,Reusable AI Content-Authoring Prompt,,5,0,0,0,1,4,0,0,0,0
37823726,REQ_MULTIGRADE_CONTENT_COVERAGE,Content Coverage Across Grades,TOY_FACTORY_LEVEL_CONTENT,3,0,0,0,1,2,0,0,0,0
37923084,REQ_HUBSPOT_FUNNEL_REPORTING,HubSpot Funnel Reporting by Contact Source,,8,1,0,0,1,3,0,1,1,1
37923084,REQ_MEETALFRED_ACCOUNT_SETUP,MeetAlfred Account Setup,OUTREACH_AUTOMATION,5,1,1,0,0,1,0,2,0,0
37923084,REQ_ZAPIER_ACCOUNT_SETUP,Zapier Account Setup,OUTREACH_AUTOMATION,3,0,0,0,1,2,0,0,0,0
37923084,REQ_HUBSPOT_MEETALFRED_LIST_SYNC,HubSpot-to-MeetAlfred Lead List Synchronization,OUTREACH_AUTOMATION,5,0,0,0,1,1,0,0,3,0
37923084,REQ_MEETALFRED_CAMPAIGN_CREATION_WORKFLOW,MeetAlfred Campaign Creation Workflow,OUTREACH_AUTOMATION,5,1,0,0,1,1,0,1,0,1
37923084,REQ_LINKEDIN_CAMPAIGN_AUTOMATION,Automated LinkedIn Campaigns,OUTREACH_AUTOMATION,4,1,1,0,0,1,0,1,0,0
37923084,REQ_CAMPAIGN_DOMAIN_SETUP,Campaign Domain Setup,CAMPAIGN_EMAIL_INFRASTRUCTURE,3,0,0,0,1,2,0,0,0,0
37923084,REQ_CAMPAIGN_EMAIL_ACCOUNT,Campaign Domain Email Account,CAMPAIGN_EMAIL_INFRASTRUCTURE,4,0,1,0,1,0,0,1,0,1
37923084,REQ_DOMAIN_WARMUP,Campaign Domain and Email Warm-Up,CAMPAIGN_EMAIL_INFRASTRUCTURE,4,0,1,0,1,2,0,0,0,0
37923084,REQ_APOLLO_HUBSPOT_CONTACT_SYNC,Apollo-to-HubSpot Contact Synchronization,,4,0,0,0,1,0,0,0,1,2
41712429,REQ_ALTERNATIVE_VOICEOVER_TAKES,Alternative Voice-over Takes,,4,0,0,2,1,0,0,0,0,1
41712429,REQ_VOICEOVER_PACING,Smooth Voice-over Pacing,VOICEOVER_PERFORMANCE,4,0,0,1,1,1,0,0,1,0
41712429,REQ_VOICEOVER_TONE_AND_ENERGY,Energetic and Inspiring Voice-over Tone,VOICEOVER_PERFORMANCE,4,0,0,1,1,1,0,0,1,0
42204309,REQ_PROJECT_BRANDING,Project Branding,SITE_CONTENT_AND_COPY,2,0,0,0,1,1,0,0,0,0
42204309,REQ_LANDING_HERO_CONTENT,Landing-Page Hero Content and Layout,SITE_CONTENT_AND_COPY,5,0,0,1,1,2,0,0,1,0
42204309,REQ_LANDING_BOOK_COVER,Landing-Page Book Cover Presentation,SITE_CONTENT_AND_COPY,10,0,0,1,1,4,0,0,4,0
42204309,REQ_FAQ_CONTENT,Client-Approved FAQ Content,SITE_CONTENT_AND_COPY,8,0,0,1,1,6,0,0,0,0
42204309,REQ_ABOUT_PAGE_CONTENT,About Project Rebuild Page,SITE_CONTENT_AND_COPY,9,1,0,0,0,8,0,0,0,0
42204309,REQ_MISSION_PAGE_CONTENT,Our Mission Page,SITE_CONTENT_AND_COPY,4,0,0,0,1,3,0,0,0,0
42204309,REQ_TOP_AFFILIATE_PRIZES,Top-Affiliate Prize Mechanism,PRIZE_MECHANICS,1,0,0,0,0,0,1,0,0,0
42204309,REQ_SMALL_BLOCK_PRIZE,Small Block Prize Mechanism,PRIZE_MECHANICS,9,0,0,0,1,8,0,0,0,0
42204309,REQ_BIG_BLOCK_PRIZE,Big Block Prize Mechanism,PRIZE_MECHANICS,8,0,0,1,1,5,1,0,0,0
42204309,REQ_PRIZE_CLAIM_FLOW,Prize Winner Claim Flow,PRIZE_MECHANICS,7,1,0,1,1,4,0,0,0,0
42204309,REQ_PRIZE_POOL_AAVE_YIELD,Aave Prize-Pool Yield Integration,PRIZE_MECHANICS,3,1,0,0,1,0,1,0,0,0
42204309,REQ_REFERRAL_CODE_IDENTITY,NFT-Owned Referral Code Identity,REFERRAL_MECHANICS,5,0,0,1,1,2,0,0,1,0
42204309,REQ_REFERRAL_CODE_VALIDATION,Referral Code Validation and Self-Referral Prevention,REFERRAL_MECHANICS,4,0,0,1,1,0,0,0,1,1
42204309,REQ_REFERRAL_VALIDATION_FEEDBACK,Referral Validation Feedback,REFERRAL_MECHANICS,3,0,0,1,1,1,0,0,0,0
42204309,REQ_CODED_REFERRAL_COMMISSION,Commission for Code-Based Referrals,REFERRAL_MECHANICS,4,0,0,0,1,2,0,0,0,1
42204309,REQ_NO_CODE_COMMISSION_ALLOCATION,Random Commission Allocation Without a Referral Code,REFERRAL_MECHANICS,12,1,0,3,1,3,0,1,2,1
42204309,REQ_PRIMARY_NFT_MINT,Unlimited Primary NFT Ebook Mint,MINT_PAYMENTS,5,0,0,1,1,0,0,0,1,2
42204309,REQ_PRIMARY_MINT_PRICE,Primary Mint Price,MINT_PAYMENTS,6,0,0,2,1,1,0,0,2,0
42204309,REQ_PRIMARY_SALE_REVENUE_SPLIT,Primary Sale Revenue Allocation,MINT_PAYMENTS,4,0,0,0,1,3,0,0,0,0
42204309,REQ_USDC_WALLET_MINT,USDC Wallet Mint Flow,MINT_PAYMENTS,11,0,0,3,1,0,0,0,4,3
42204309,REQ_ETH_WALLET_MINT,ETH Wallet Mint and Conversion Flow,MINT_PAYMENTS,10,0,0,3,1,1,0,0,5,0
42204309,REQ_TRANSAK_FIAT_MINT,Transak Fiat Mint Integration,MINT_PAYMENTS,10,1,1,1,1,5,0,1,0,0
42204309,REQ_FIAT_BUYER_WALLET_PROVISIONING,Background Wallet Provisioning for Fiat Buyers,MINT_PAYMENTS,3,0,1,0,1,1,0,0,0,0
42204309,REQ_FIAT_BUYER_REWARD_ACCESS,Fiat Buyer Access to Commissions and Prizes,MINT_PAYMENTS,5,0,0,0,1,4,0,0,0,0
42204309,REQ_MINT_TIPPING,Optional Mint Tipping,MINT_PAYMENTS,8,0,0,2,1,3,0,0,1,1
42204309,REQ_MINT_SUCCESS_CONFIRMATION,Accurate Mint Success Confirmation,MINT_PAYMENTS,20,0,0,4,1,6,0,0,7,2
42204309,REQ_WALLET_AUTHENTICATION,Wallet Authentication for Crypto Flows,AUTH_AND_ACCESS,1,0,0,0,1,0,0,0,0,0
42204309,REQ_EMAIL_DASHBOARD_AUTHENTICATION,Email and Magic-Link Dashboard Authentication,AUTH_AND_ACCESS,4,0,0,1,1,0,0,0,1,1
42204309,REQ_PUBLIC_API_ACCESS,Unauthenticated Public API Access,AUTH_AND_ACCESS,1,0,0,0,1,0,0,0,0,0
42204309,REQ_EBOOK_IPFS_STORAGE,Pinata IPFS Ebook Storage,EBOOK_ACCESS,1,0,0,0,1,0,0,0,0,0
42204309,REQ_NFT_HOLDER_BOOK_GATING,NFT-Holder Ebook Access Gating,EBOOK_ACCESS,10,0,0,2,1,1,0,0,3,3
42204309,REQ_EBOOK_READER,Read-Only Ebook Reader,EBOOK_ACCESS,4,0,0,0,1,0,0,0,2,1
42204309,REQ_MOBILE_EBOOK_ACCESS,Mobile Wallet Ebook Access,EBOOK_ACCESS,6,0,0,1,1,0,0,0,3,1
42204309,REQ_OFFLINE_PDF_DOWNLOAD,Optional Offline PDF Download,EBOOK_ACCESS,1,0,0,0,1,0,0,0,0,0
42204309,REQ_NFT_CERTIFICATE_EMAIL,NFT Certificate and Read-Link Email,EBOOK_ACCESS,2,0,0,0,1,0,0,0,1,0
42204309,REQ_DASHBOARD_NFT_LISTING,Accurate Dashboard NFT Listing,NFT_DATA_AND_PRESENTATION,13,0,0,3,1,0,0,0,6,3
42204309,REQ_DASHBOARD_REWARD_SUMMARY,Accurate Dashboard Reward Summary,NFT_DATA_AND_PRESENTATION,8,0,0,2,1,1,0,0,3,1
42204309,REQ_REFERRAL_LEADERBOARD_ACCURACY,Accurate Referral Leaderboard,NFT_DATA_AND_PRESENTATION,13,0,0,1,1,4,0,0,6,1
42204309,REQ_PLATFORM_AGGREGATE_STATS,Accurate Public Platform Statistics,NFT_DATA_AND_PRESENTATION,10,0,0,1,1,4,0,0,4,0
42204309,REQ_NFT_TRANSFER_STATE,NFT Transfer State Semantics,,2,0,0,0,1,1,0,0,0,0
42204309,REQ_SECONDARY_ROYALTY_ENFORCEMENT,Secondary-Sale Royalty Enforcement,,4,0,0,1,1,2,0,0,0,0
42204309,REQ_BASE_NETWORK_DEPLOYMENT,Base Network Deployment,,3,0,0,1,1,0,0,0,1,0
42204309,REQ_CONTRACT_MIGRATION_CONTINUITY,Smart-Contract Migration and State Continuity,,4,0,0,2,1,0,0,0,1,0
42204309,REQ_BADGE_PRESENTATION,Badge Grid and Responsive Presentation,BADGE_SYSTEM,5,0,0,1,1,1,0,0,2,0
42204309,REQ_MAURITIUS_GEOBLOCK,Mauritius Landing-Page Geoblock,,1,0,0,0,1,0,0,0,0,0
42204309,REQ_PRODUCTION_SITE_AVAILABILITY,Production Website Availability,,3,0,0,0,1,0,0,0,1,1
42204309,REQ_SITE_TRUST_WARNING_REMEDIATION,Wallet and Browser Trust-Warning Remediation,,4,0,0,1,1,1,0,0,1,0
42204309,REQ_CONTRACT_EVENT_WEBHOOK,Production Contract-Event Webhook,,1,0,0,0,1,0,0,0,0,0
42204309,REQ_MINT_ONE_OWNERSHIP_ASSIGNMENT,Mint Number One Ownership Assignment,,2,0,0,1,1,0,0,0,0,0
42204309,REQ_SUPPORT_CONTACT_FORM,Landing-Page Support Contact Form,USER_SUPPORT_CHANNELS,1,0,0,0,1,0,0,0,0,0
42204309,REQ_DISCORD_COMMUNITY_SERVER,Project Rebuild Discord Community Server,USER_SUPPORT_CHANNELS,6,0,1,1,1,1,0,1,1,0
42204309,REQ_HOW_IT_WORKS_SECTION_CONTENT,Landing-Page How It Works Section Content,SITE_CONTENT_AND_COPY,1,0,0,0,0,1,0,0,0,0
42204309,REQ_PAYMENT_METHOD_SELECTION,Payment Method Selection and Currency Disclosure,MINT_PAYMENTS,5,0,0,0,1,1,0,0,2,1
42204309,REQ_PAYMENT_METHOD_AVAILABILITY,Payment Method Availability Gating,MINT_PAYMENTS,3,0,0,0,1,1,0,0,1,0
42204309,REQ_TRANSACTIONAL_EMAIL_DELIVERY,Brevo Transactional Email Transport,,4,0,0,1,1,0,0,0,1,1
42204309,REQ_PRIZE_WINNER_EMAIL_NOTIFICATION,Prize Winner Email Notification,,3,0,0,0,1,2,0,0,0,0
42204309,REQ_BADGE_EMAIL_NOTIFICATION_ACCURACY,Accurate Badge Email Notifications,BADGE_SYSTEM,2,0,0,0,1,0,0,0,1,0
42204309,REQ_BADGE_AWARD_RULES,Achievement Badge Award Rules,BADGE_SYSTEM,5,0,0,0,0,2,0,0,2,1
42204309,REQ_BADGE_CATALOG,Approved Achievement Badge Catalog,BADGE_SYSTEM,7,1,0,1,1,2,0,1,0,1
42204309,REQ_NFT_REWARD_ATTRIBUTES,Accurate NFT Metadata Reward Attributes,NFT_DATA_AND_PRESENTATION,11,0,0,1,0,6,0,0,3,1
42204309,REQ_NFT_DETAIL_REWARD_SUMMARY,Accurate NFT Detail Reward Summary,NFT_DATA_AND_PRESENTATION,4,0,0,1,1,0,0,0,1,1
42204309,REQ_NFT_ASSET_PRESENTATION,NFT Asset Presentation in Wallets and Product Views,NFT_DATA_AND_PRESENTATION,8,0,0,2,1,1,0,0,3,1
42204309,REQ_NFT_ASSET_ENDPOINT_RESOLUTION,NFT Metadata and Asset Endpoint Resolution,NFT_DATA_AND_PRESENTATION,1,0,0,0,0,0,0,0,0,1
43214420,REQ_BATTERY_CONNECTOR_INTERFACE,Battery Connector Interface,POWER_MANAGEMENT,4,1,0,1,0,2,0,0,0,0
43214420,REQ_5V_BOOST_ENABLE_CONTROL,Switchable 5V Boost Rail,POWER_MANAGEMENT,10,0,0,0,1,9,0,0,0,0
43214420,REQ_AXP2101_POWER_PATH,AXP2101 Battery and System Power Path,POWER_MANAGEMENT,5,0,0,0,1,3,0,0,1,0
43214420,REQ_DCDC1_RAIL_REGULATION,DCDC1 3.3V-Rail Regulation and Stability,POWER_MANAGEMENT,6,0,0,0,1,2,0,0,2,1
43214420,REQ_USB_STANDALONE_3V3_SUPPLY,Standalone USB 3.3V Supply,USB_AND_PROGRAMMING,8,1,0,0,1,6,0,0,0,0
43214420,REQ_POWER_RAIL_CURRENT_MONITORING,3.3V and 5V Rail Current Monitoring,POWER_MANAGEMENT,6,1,0,0,1,4,0,0,0,0
43214420,REQ_HIGH_CURRENT_POWER_ROUTING,High-Current Power Routing,POWER_MANAGEMENT,3,0,0,1,1,1,0,0,0,0
43214420,REQ_AXP2101_THERMAL_ASSEMBLY,AXP2101 Thermal-Pad Assembly Reliability,POWER_MANAGEMENT,4,0,0,1,1,1,0,0,1,0
43214420,REQ_CHARGE_STATUS_INTERFACE,Battery-Charge Status Interface,POWER_MANAGEMENT,4,1,0,0,1,1,0,1,0,0
43214420,REQ_PANEL_POWER_CONTROL,Panel-Mounted Power Control,POWER_MANAGEMENT,5,1,0,0,1,2,0,1,0,0
43214420,REQ_ESP32_MODULE_SELECTION,ESP32-S3 Module Selection,CONTROLLER_AND_INPUTS,7,1,0,0,1,4,0,1,0,0
43214420,REQ_ESP32_GPIO_ASSIGNMENTS,ESP32-S3 GPIO Assignment Compatibility,CONTROLLER_AND_INPUTS,12,3,0,1,1,4,0,3,0,0
43214420,REQ_ESP32_PIN_BREAKOUT,ESP32 Full-Pin Breakout,CONTROLLER_AND_INPUTS,8,2,0,1,1,3,0,1,0,0
43214420,REQ_PANEL_CONTROL_CONNECTORS,Panel Control Connectors,CONTROLLER_AND_INPUTS,5,1,0,0,1,2,0,1,0,0
43214420,REQ_I2C_BUS_CONDITIONING,I2C Pull-Up and Signal Conditioning,SENSOR_INTERFACES,9,1,0,1,1,5,0,1,0,0
43214420,REQ_PASSIVE_BUZZER_INTERFACE,Passive Buzzer Interface,,3,0,0,0,1,2,0,0,0,0
43214420,REQ_SENSOR_CONNECTOR_FANOUT,Sensor Connector Fanout,SENSOR_INTERFACES,4,0,0,0,1,3,0,0,0,0
43214420,REQ_SPS30_I2C_INTERFACE,SPS30 I2C-Mode Interface,SENSOR_INTERFACES,3,0,0,1,1,1,0,0,0,0
43214420,REQ_SENSOR_LOGIC_LEVEL_COMPATIBILITY,Sensor Logic-Level Compatibility,SENSOR_INTERFACES,3,1,0,0,0,1,0,1,0,0
